Zeit,Kanal E,Kanal F,Kanal G,Kanal H
15.46152622,5.097058,1.794347,0.1233061,4.070626
15.4621929,5.088817,1.781528,0.1135392,4.059639
15.46285957,5.077219,1.761995,0.09644732,4.04041
15.46352625,5.061653,1.751312,0.08286534,4.019045
15.46419292,5.048529,1.746734,0.07386155,4.006226
15.4648596,5.054938,1.753144,0.08042364,4.014162
15.46552627,5.080882,1.772982,0.1013307,4.038579
15.46619295,5.088817,1.779697,0.1075876,4.04804
15.46685962,5.073251,1.766268,0.09782077,4.0398
15.4675263,5.068367,1.760469,0.0937004,4.037969
15.46819297,5.097058,1.788854,0.1185753,4.060249
15.46885965,5.108961,1.800757,0.1292577,4.070626
15.46952632,5.0937,1.793127,0.1187279,4.06208
15.470193,5.074777,1.773898,0.09965205,4.044988
15.47085967,5.05036,1.748871,0.07935539,4.023623
15.47152635,5.032352,1.731474,0.06424734,4.006226
15.47219302,5.047918,1.749481,0.07676108,4.015078
15.4728597,5.08668,1.78336,0.1123184,4.053229
15.47352637,5.107435,1.800146,0.131089,4.075204
15.47419305,5.109877,1.806556,0.1345989,4.078867
15.47485972,5.110487,1.810829,0.1373459,4.080088
15.4755264,5.10072,1.796789,0.1245269,4.0691
15.47619307,5.075387,1.771762,0.09980466,4.047125
15.47685975,5.053107,1.746429,0.07706629,4.017519
15.47752642,5.045171,1.740325,0.06897815,4.005005
15.4781931,5.048834,1.743682,0.07538762,4.01172
15.47885977,5.040898,1.729337,0.06363691,4.002258
15.47952645,5.044256,1.737578,0.07111464,4.006837
15.48019312,5.090038,1.780613,0.1144549,4.049872
15.4808598,5.106824,1.790685,0.1280369,4.068795
15.48152647,5.106824,1.788854,0.1278843,4.072152
15.48219315,5.11476,1.799536,0.1327677,4.078257
15.48285982,5.115675,1.79801,0.1321572,4.079477
15.4835265,5.103467,1.791295,0.1246795,4.071237
15.48419317,5.087596,1.782749,0.112471,4.055976
15.48485985,5.07844,1.766573,0.09873642,4.04102
15.48552652,5.048529,1.74002,0.07187767,4.009889
15.4861932,5.012208,1.708583,0.03830424,3.967769
15.48685987,5.002747,1.701257,0.02792699,3.960139
15.48752655,5.036625,1.732084,0.06150043,3.995544
15.48819322,5.094921,1.786412,0.1129288,4.044683
15.4888599,5.111097,1.801978,0.1298681,4.067269
15.48952657,5.103162,1.797094,0.1263582,4.068795
15.49019325,5.098584,1.790074,0.1231535,4.059944
15.49085992,5.097668,1.780002,0.117507,4.059944
15.4915266,5.0937,1.772372,0.1109449,4.056281
15.49219327,5.08668,1.76871,0.1056037,4.042547
15.49285995,5.063789,1.75528,0.08805396,4.021487
15.49352662,5.043035,1.735747,0.06806251,4.002869
15.4941933,5.045782,1.734831,0.06653644,3.998291
15.49485997,5.073862,1.764437,0.09614211,4.029117
15.49552665,5.089427,1.776035,0.113234,4.049261
15.49619332,5.090648,1.777256,0.1123184,4.050787
15.49686,5.081492,1.773288,0.102399,4.042852
15.49752667,5.080882,1.775424,0.1016359,4.037663
15.49819335,5.094311,1.793432,0.1176596,4.05384
15.49886002,5.074777,1.769625,0.09736296,4.037969
15.4995267,5.026554,1.720486,0.05341228,3.991576
15.50019337,5.041509,1.735441,0.06958857,4.005921
15.50086005,5.046698,1.74002,0.07462458,4.012941
15.50152672,5.035405,1.730253,0.06424734,3.999206
15.5021934,5.053107,1.741851,0.07569283,4.009889
15.50286007,5.097363,1.784581,0.1155231,4.05445
15.50352675,5.113234,1.799841,0.1297155,4.068795
15.50419342,5.111708,1.797705,0.1306312,4.067574
15.5048601,5.118423,1.801978,0.1341411,4.072457
15.50552677,5.105909,1.795263,0.1266634,4.072152
15.50619345,5.082713,1.774509,0.1069772,4.056891
15.50686012,5.063484,1.744903,0.08301795,4.024844
15.5075268,5.045476,1.730863,0.0656208,4.000122
15.50819347,5.02167,1.719875,0.04990233,3.98242
15.50886015,4.984739,1.688439,0.01663411,3.953424
15.50952682,5.011598,1.71255,0.04303504,3.986693
15.5101935,5.063179,1.757722,0.09263216,4.035222
15.51086017,5.100415,1.792211,0.1265108,4.065133
15.51152685,5.103162,1.802283,0.1306312,4.065438
15.51219352,5.103467,1.800146,0.1321572,4.066964
15.5128602,5.10011,1.792516,0.1295629,4.067879
15.51352687,5.092785,1.785801,0.1223904,4.062691
15.51419355,5.09248,1.786107,0.1202539,4.061165
15.51486022,5.092174,1.789464,0.1188805,4.063911
15.5155269,5.069894,1.767794,0.09461604,4.038274
15.51619357,5.036625,1.733915,0.05997436,4.002564
15.51686025,5.008546,1.70431,0.03097912,3.967769
15.51752692,5.011903,1.711024,0.03662556,3.974484
15.5181936,5.073556,1.766878,0.09659992,4.036442
15.51886027,5.103162,1.7916,0.1233061,4.066658
15.51952695,5.106824,1.797094,0.1295629,4.077036
15.52019362,5.102246,1.802588,0.1332255,4.077951
15.5208603,5.102246,1.801978,0.1289525,4.068184
15.52152697,5.099499,1.789159,0.1211696,4.057197
15.52219365,5.095226,1.776035,0.1127762,4.048956
15.52286032,5.079966,1.760774,0.09583689,4.030949
15.523527,5.064095,1.749786,0.08240752,4.019656
15.52419367,5.053718,1.74002,0.07447198,4.010499
15.52486035,5.053718,1.742461,0.07737151,4.017824
15.52552702,5.073251,1.765657,0.09736296,4.042242
15.5261937,5.07203,1.770541,0.09690514,4.041631
15.52686037,5.070199,1.76871,0.09492125,4.03339
15.52752705,5.082713,1.774814,0.1046881,4.042852
15.52819372,5.103467,1.789464,0.1199487,4.064827
15.5288604,5.11537,1.793432,0.1269686,4.071542
15.52952707,5.106824,1.789159,0.1242217,4.067269
15.53019375,5.077219,1.772067,0.1075876,4.048651
15.53086042,5.057685,1.753144,0.08622268,4.026676
15.5315271,5.039067,1.731168,0.06623123,4.003479
15.53219377,5.032963,1.725675,0.06150043,3.996765
15.53286045,5.062263,1.753144,0.08698571,4.023623
15.53352712,5.090343,1.78397,0.1172018,4.056891
15.5341938,5.105299,1.80442,0.1324625,4.073373
15.53486047,5.116591,1.808998,0.1388719,4.07551
15.53552715,5.10774,1.795568,0.1271212,4.063606
15.53619382,5.081187,1.775424,0.1071298,4.046209
15.5368605,5.056159,1.75467,0.08607008,4.026981
15.53752717,5.047003,1.742461,0.07523501,4.014772
15.53819385,5.059822,1.751007,0.08469662,4.020571
15.53886052,5.051581,1.742766,0.07523501,4.008668
15.5395272,5.039678,1.731474,0.06577341,4.001038
15.54019387,5.067147,1.754975,0.08958003,4.024539
15.54086055,5.098584,1.788243,0.1191857,4.051703
15.54152722,5.103162,1.796179,0.1254426,4.059639
15.5421939,5.108046,1.798926,0.1321572,4.071237
15.54286057,5.108656,1.796789,0.1332255,4.077951
15.54352725,5.104688,1.790074,0.1265108,4.072457
15.54419392,5.096753,1.782139,0.1220852,4.062691
15.5448606,5.082102,1.774203,0.1115554,4.052924
15.54552727,5.052496,1.752533,0.07996581,4.024234
15.54619395,5.02167,1.71957,0.04608717,3.986998
15.54686062,5.006409,1.700647,0.03219998,3.965938
15.5475273,5.03571,1.725369,0.06348431,4.000122
15.54819397,5.090953,1.777256,0.115981,4.052008
15.54886065,5.10774,1.794958,0.1323099,4.068795
15.54952732,5.103467,1.792516,0.1289525,4.065438
15.550194,5.09248,1.788854,0.1222378,4.057502
15.55086067,5.084544,1.782139,0.1146075,4.055366
15.55152735,5.07966,1.775729,0.1060615,4.049261
15.55219402,5.07203,1.7623,0.0959895,4.03339
15.5528607,5.053412,1.744903,0.0772189,4.012636
15.55352737,5.056159,1.745819,0.07813454,4.012331
15.55419405,5.096753,1.786107,0.1170492,4.050177
15.55486072,5.106824,1.803809,0.131089,4.066658
15.5555274,5.099804,1.795874,0.1237639,4.06849
15.55619407,5.096447,1.783665,0.1141497,4.059028
15.55686075,5.084544,1.776035,0.1042303,4.04804
15.55752742,5.076303,1.770236,0.09858381,4.045904
15.5581941,5.082102,1.772067,0.1088084,4.051093
15.55886077,5.075693,1.764742,0.1034672,4.042242
15.55952745,5.057075,1.752838,0.08240752,4.021487
15.56019412,5.041814,1.736967,0.06424734,4.005616
15.5608608,5.048834,1.740935,0.06897815,4.006226
15.56152747,5.089122,1.779697,0.1072824,4.041326
15.56219415,5.118117,1.802893,0.1327677,4.071237
15.56286082,5.116897,1.802893,0.1320046,4.074899
