Zeit,Kanal E,Kanal F,Kanal G,Kanal H
9.10678027,5.07203,1.726438,0.09354779,4.045599
9.10744695,5.059211,1.717739,0.08393358,4.037053
9.10811362,5.077524,1.732542,0.09995727,4.053229
9.1087803,5.095531,1.754059,0.131852,4.076425
9.10944697,5.072946,1.749786,0.1422293,4.071847
9.11011365,5.052496,1.712093,0.08820657,4.027896
9.11078032,5.071115,1.722012,0.09003785,4.040715
9.111447,5.084239,1.738188,0.107435,4.062691
9.11211367,5.071115,1.723385,0.09186912,4.047125
9.11278035,5.053718,1.706599,0.0749298,4.028507
9.11344702,5.072335,1.724454,0.0937004,4.045293
9.1141137,5.088511,1.738493,0.1068246,4.051398
9.11478037,5.075387,1.724606,0.09293737,4.034001
9.11544705,5.052191,1.70141,0.07065682,4.009278
9.11611372,5.061348,1.710566,0.07935539,4.023929
9.1167804,5.07844,1.72659,0.09583689,4.040715
9.11744707,5.084239,1.731779,0.09995727,4.047125
9.11811375,5.0644,1.715908,0.08301795,4.035832
9.11878042,5.078135,1.731016,0.09705774,4.049872
9.1194471,5.091869,1.745361,0.112471,4.065438
9.12011377,5.077524,1.732847,0.1010255,4.051703
9.12078045,5.063484,1.718349,0.08759614,4.034001
9.12144712,5.075998,1.732847,0.1011781,4.052008
9.1221138,5.085155,1.736662,0.1043829,4.054145
9.12278047,5.068673,1.714992,0.08271273,4.03278
9.12344715,5.057685,1.707972,0.07630326,4.030338
9.12411382,5.074472,1.724759,0.09461604,4.047735
9.1247805,5.076303,1.726285,0.09614211,4.042852
9.12544717,5.046392,1.700494,0.06867293,4.009278
9.12611385,5.047308,1.707362,0.07431938,4.01813
9.12678052,5.072946,1.731931,0.09797338,4.051093
9.1274472,5.304297,1.955195,0.3206263,4.291601
9.12811387,5.668111,2.312294,0.6751312,4.664571
9.12878055,5.317116,1.965419,0.3303931,4.295263
9.12944722,5.103772,1.756806,0.1246795,4.079477
9.1301139,5.087291,1.740172,0.1068246,4.065133
9.13078057,5.060737,1.712703,0.07920279,4.034001
9.13144725,5.069589,1.721554,0.08759614,4.038579
9.13211392,5.08546,1.736967,0.1040776,4.053229
9.1327806,5.07844,1.72659,0.09431083,4.044988
9.13344727,5.059516,1.703241,0.07141985,4.023929
9.13411395,5.075082,1.720181,0.08942742,4.04041
9.13478062,5.094311,1.741393,0.1097241,4.057807
9.1354473,5.086986,1.735594,0.1033146,4.050177
9.13611397,5.069589,1.719723,0.0868331,4.036747
9.13678065,5.080882,1.731474,0.09690514,4.04682
9.13744732,5.076608,1.72247,0.08790135,4.033085
9.138114,5.043951,1.691796,0.05875351,4.005311
9.13878067,5.046087,1.696221,0.06439995,4.010499
9.13944734,5.09309,1.742156,0.1120132,4.059639
9.14011402,5.109266,1.758027,0.1278843,4.075815
9.14078069,5.105604,1.752075,0.1196435,4.0691
9.14144737,5.085765,1.733305,0.09873642,4.046515
9.14211404,5.09309,1.736967,0.102399,4.053229
9.14278072,5.07966,1.728421,0.09553168,4.044988
9.14344739,5.050665,1.700647,0.06882554,4.022098
9.14411407,5.066231,1.716823,0.0866805,4.042242
9.14478074,5.091564,1.739714,0.1089611,4.06147
9.14544742,5.081797,1.731321,0.09812599,4.05506
9.14611409,5.055549,1.704767,0.07233549,4.031559
9.14678077,5.072946,1.722165,0.0912587,4.04102
9.14744744,5.083933,1.738341,0.1060615,4.055671
9.14811412,5.064095,1.721401,0.08759614,4.035527
9.14878079,5.038152,1.692559,0.05951654,4.010499
9.14944747,5.060127,1.713008,0.08042364,4.032169
9.15011414,5.099194,1.745971,0.1104871,4.064522
9.15078082,5.090953,1.734678,0.09507386,4.052008
9.15144749,5.04975,1.70431,0.07172506,4.022403
9.15211417,5.0644,1.717586,0.08881699,4.041936
9.15278084,5.097668,1.745208,0.1147601,4.067574
9.15344752,5.097363,1.738646,0.1078928,4.054755
9.15411419,5.060737,1.707667,0.07599805,4.018435
9.15478087,5.070504,1.722012,0.08958003,4.034306
9.15544754,5.087901,1.742003,0.1097241,4.051093
9.15611422,5.080576,1.732389,0.1001099,4.043767
9.15678089,5.057685,1.710109,0.07782932,4.022708
9.15744757,5.076608,1.729795,0.09690514,4.0398
9.15811424,5.100415,1.75116,0.1172018,4.065133
9.15878092,5.083933,1.739104,0.1062141,4.052313
9.15944759,5.047918,1.701105,0.06867293,4.013551
9.16011427,5.047003,1.698053,0.0656208,4.014772
9.16078094,5.062569,1.716976,0.08454401,4.034611
9.16144762,5.071725,1.726285,0.09446344,4.043767
9.16211429,5.057685,1.704767,0.07462458,4.025455
9.16278097,5.082102,1.725064,0.09431083,4.045599
9.16344764,5.099194,1.747039,0.1130814,4.062386
9.16411432,5.087291,1.734983,0.1011781,4.051398
9.16478099,5.051886,1.702478,0.07050421,4.019656
9.16544767,5.050055,1.70553,0.07157245,4.029727
9.16611434,5.087901,1.732694,0.0982786,4.057502
9.16678102,5.088511,1.732389,0.09873642,4.053229
9.16744769,5.050665,1.700647,0.06729947,4.017824
9.16811437,5.063484,1.712245,0.08088145,4.028507
9.16878104,5.085765,1.739562,0.1085032,4.057197
9.16944772,5.081492,1.731931,0.1019412,4.047735
9.17011439,5.04334,1.689965,0.05982175,4.001648
9.17078107,5.060432,1.70843,0.07676108,4.023013
9.17144774,5.113539,1.757874,0.1255952,4.076731
9.17211442,5.102857,1.745361,0.1123184,4.063911
9.17278109,5.058601,1.706751,0.0727933,4.021182
9.17344777,5.068367,1.717586,0.08515444,4.038884
9.17411444,5.090953,1.738036,0.106672,4.057807
9.17478112,5.079966,1.7301,0.09614211,4.047735
9.17544779,5.046392,1.701257,0.06668904,4.015688
9.17611447,5.067757,1.718197,0.0843914,4.034611
9.17678114,5.093395,1.742156,0.1083506,4.058113
9.17744782,5.084239,1.731474,0.09858381,4.040715
9.17811449,5.045782,1.702021,0.06897815,4.009583
9.17878117,5.056464,1.713313,0.07874496,4.024539
9.17944784,5.085765,1.73773,0.1025516,4.04743
9.18011452,5.075082,1.728574,0.09461604,4.039495
9.18078119,5.035405,1.691796,0.05982175,4.005311
9.18144787,5.042425,1.694238,0.06165303,4.005005
9.18211454,5.014345,1.663258,0.03113173,3.978757
9.18278122,4.952997,1.606031,-0.0280796,3.924124
9.18344789,5.038152,1.688591,0.05402271,4.005005
9.18411457,5.072946,1.724606,0.09232694,4.041936
9.18478124,5.087901,1.740325,0.1095715,4.058113
9.18544792,5.103467,1.755128,0.1234587,4.062996
9.18611459,5.090648,1.747802,0.1147601,4.050482
9.18678127,5.07142,1.729184,0.09461604,4.035832
9.18744794,5.07905,1.734221,0.09919424,4.048651
9.18811462,5.082102,1.734373,0.1004151,4.04743
9.18878129,5.067757,1.719265,0.08851178,4.028812
9.18944797,5.0644,1.721859,0.09171651,4.037358
9.19011464,5.076303,1.739409,0.1083506,4.052619
9.19078132,5.078135,1.735136,0.1045355,4.049872
9.19144799,5.047613,1.704462,0.0727933,4.01874
9.19211467,5.048529,1.700647,0.06836772,4.015078
9.19278134,5.065621,1.70904,0.0772189,4.028202
9.19344802,5.060737,1.704004,0.07309853,4.026676
9.19411469,5.061042,1.70553,0.07325113,4.023623
9.19478137,5.077219,1.726895,0.0937004,4.042547
9.19544804,5.090038,1.743529,0.1121658,4.059028
9.19611472,5.083323,1.737578,0.1065193,4.050482
9.19678139,5.063789,1.715145,0.08378097,4.022098
9.19744807,5.063789,1.715908,0.08317055,4.022098
9.19811474,5.083018,1.731016,0.1004151,4.043157
9.19878142,5.07905,1.729032,0.09888902,4.043157
9.19944809,5.05036,1.706751,0.07508241,4.017519
9.20011477,5.061958,1.718655,0.08637529,4.036137
9.20078144,5.088206,1.737425,0.1049933,4.060554
9.20144812,5.07844,1.725217,0.09171651,4.044378
9.20211479,5.041509,1.691185,0.05509095,4.006837
9.20278147,5.055549,1.705225,0.07050421,4.023623
9.20344814,5.060737,1.716976,0.08607008,4.037969
9.20411482,5.051581,1.708583,0.07889757,4.027591
9.20478149,5.054938,1.706751,0.07599805,4.026981
9.20544817,5.077829,1.725675,0.09247955,4.047125
9.20611484,5.092174,1.740172,0.1078928,4.062691
9.20678152,5.080576,1.731321,0.09995727,4.05445
9.20744819,5.054328,1.703852,0.07050421,4.022098
9.20811487,5.07142,1.717892,0.0842388,4.031864
9.20878154,5.092174,1.743987,0.1101819,4.056586
9.20944822,5.07844,1.735441,0.102399,4.052619
9.21011489,5.039067,1.699426,0.06684165,4.015078
9.21078157,5.053107,1.712093,0.07905018,4.030949
9.21144824,5.075082,1.731626,0.09721035,4.050482
9.21211492,5.067757,1.72308,0.08912221,4.036442
9.21278159,5.046698,1.702021,0.06989378,4.016298
9.21344827,5.068062,1.718807,0.08484922,4.038274
9.21411494,5.07966,1.727658,0.09308998,4.047125
9.21478162,5.060432,1.705225,0.07203028,4.017519
9.21544829,5.022891,1.673788,0.04059333,3.981504
9.21611497,5.050665,1.705988,0.07126725,4.019961
9.21678164,5.083628,1.738951,0.1045355,4.05445
9.21744832,5.077829,1.730253,0.09721035,4.044988
9.21811499,5.048529,1.700494,0.06806251,4.016909
9.21878167,5.06501,1.714534,0.08225492,4.029422
9.21944834,5.089427,1.741088,0.1088084,4.051703
9.22011502,5.088817,1.741546,0.1086558,4.051093
9.22078169,5.080271,1.732847,0.0982786,4.044988
9.22144837,5.069589,1.725675,0.08973263,4.041326
9.22211504,5.086375,1.734068,0.09797338,4.058113
9.22278172,5.07966,1.728116,0.09507386,4.043157
9.22344839,5.043645,1.698205,0.06668904,4.013856
9.22411507,5.058906,1.70904,0.07569283,4.026371
9.22478174,5.080882,1.722775,0.09049566,4.036442
9.22544842,5.082102,1.719265,0.08912221,4.031864
9.22611509,5.07203,1.717281,0.08713832,4.03339
9.22678177,5.080271,1.7301,0.0984312,4.047735
9.22744844,5.0937,1.743377,0.1110975,4.063911
9.22811512,5.093395,1.74475,0.112471,4.063911
9.22878179,5.085765,1.735289,0.1030094,4.046515
9.22944847,5.071115,1.720181,0.08790135,4.031559
9.23011514,5.079355,1.726743,0.09446344,4.040105
9.23078182,5.08668,1.73712,0.1048407,4.055976
9.23144849,5.074167,1.727048,0.09400561,4.040105
9.23211517,5.054938,1.710414,0.07584544,4.020876
9.23278184,5.07142,1.730711,0.09553168,4.047735
9.23344852,5.087901,1.747497,0.1135392,4.068795
9.23411519,5.080882,1.738341,0.1071298,4.055671
9.23478187,5.064705,1.721096,0.09003785,4.03278
9.23544854,5.087596,1.737883,0.1072824,4.052313
