Zeit,Kanal E,Kanal F,Kanal G,Kanal H
13.98950786,5.074167,1.785344,0.1015139,3.863844
13.99017453,5.057991,1.771151,0.08774875,3.97891
13.99084121,5.034489,1.749481,0.06446099,4.093822
13.99150788,5.058601,1.771609,0.0865279,4.199121
13.99217456,5.053412,1.76581,0.08078989,4.211635
13.99284123,5.027774,1.735899,0.05222195,4.129075
13.99350791,5.018618,1.724454,0.04309608,3.998596
13.99417458,5.0293,1.736815,0.05448053,3.881547
13.99484126,5.05738,1.7623,0.07880601,3.822793
13.99550793,5.080271,1.778476,0.09443291,3.829508
13.99617461,5.094921,1.791906,0.1085643,3.882615
13.99684128,5.105604,1.808387,0.1245269,3.932975
13.99750796,5.094921,1.803504,0.1179343,3.944268
13.99817463,5.080576,1.792974,0.1116775,3.939842
13.99884131,5.06501,1.785038,0.1121353,3.92626
13.99950798,5.048223,1.759095,0.0796606,3.869949
14.00017466,5.027469,1.735747,0.05118423,3.895586
14.00084133,5.0351,1.746582,0.06171408,4.019351
14.00150801,5.06501,1.772525,0.08835918,4.159596
14.00217468,5.078745,1.78397,0.0997131,4.235441
14.00284136,5.07142,1.783665,0.0997131,4.234831
14.00350803,5.061958,1.779239,0.094555,4.171804
14.00417471,5.059822,1.772372,0.08664998,4.024539
14.00484138,5.056769,1.762758,0.07801245,3.887041
14.00550806,5.059516,1.764131,0.07837871,3.845532
14.00617473,5.04212,1.747192,0.06040166,3.875137
14.00684141,5.039372,1.745666,0.06058479,3.887956
14.00750808,5.041203,1.756196,0.06958857,3.885667
14.00817476,5.047003,1.766115,0.07853131,3.87468
14.00884143,5.057685,1.774966,0.08906116,3.882768
14.00950811,5.066536,1.78046,0.0964168,3.861861
14.01017478,5.081492,1.78687,0.1035588,3.863234
14.01084146,5.090343,1.7945,0.1090221,3.927481
14.01150813,5.084849,1.794042,0.1084727,4.07612
14.01217481,5.063484,1.774051,0.09019046,4.158222
14.01284148,5.026248,1.74124,0.05692223,4.18615
14.01350816,5.025027,1.738951,0.05423636,4.188286
14.01417483,5.034794,1.745513,0.0617446,4.119766
