Zeit,Kanal A,Kanal B,Kanal C,Kanal D
8.65877468,14.24063,14.23636,1.04218,0.1106092
8.65944136,14.18752,14.19485,1.024051,0.09278476
8.66010803,14.18996,14.19118,1.022525,0.09235746
8.66077471,14.22964,14.23392,1.043707,0.114638
8.66144138,14.21865,14.22598,1.045538,0.117507
8.66210806,14.17837,14.18874,1.025089,0.09736296
8.66277473,14.19485,14.19546,1.038945,0.1118301
8.66344141,14.20828,14.21438,1.04975,0.1211085
8.66410808,14.16005,14.1686,1.035466,0.1043218
8.66477476,14.08558,14.08802,1.010621,0.07825662
8.66544143,14.10511,14.10695,1.026981,0.09351727
8.66610811,14.17959,14.18569,1.042852,0.1079233
8.66677478,14.17959,14.18691,1.023868,0.08887804
8.66744146,14.204,14.21621,1.036931,0.103223
8.66810813,14.22842,14.23269,1.051093,0.1182395
8.66877481,14.21072,14.20767,1.038274,0.106031
8.66944148,14.18874,14.18203,1.020449,0.08893908
8.67010816,14.23941,14.23392,1.039311,0.1089611
8.67077483,14.24673,14.24002,1.048468,0.1184837
8.67144151,14.19363,14.19363,1.029606,0.1006593
8.67210818,14.20828,14.21682,1.033085,0.1048712
8.67277486,14.22537,14.2333,1.049444,0.1219631
8.67344153,14.2211,14.22537,1.039922,0.1123794
8.67410821,14.21804,14.21926,1.013551,0.08503235
8.67477488,14.23025,14.22476,1.022769,0.0928458
8.67544156,14.20156,14.20889,1.03571,0.1040166
8.67610823,14.17653,14.17776,1.024478,0.09101453
8.67677491,14.24673,14.23514,1.026431,0.09138078
8.67744158,14.29557,14.27726,1.042425,0.1069466
8.67810826,14.27542,14.26077,1.036564,0.1013307
8.67877493,14.23147,14.22171,1.011354,0.07691368
8.67944161,14.26932,14.26627,1.025699,0.09302893
8.68010828,14.32853,14.32792,1.048407,0.117507
8.68077496,14.30289,14.30228,1.041448,0.1099988
8.68144163,14.26383,14.26322,1.017458,0.08594799
8.68210831,14.28519,14.28458,1.032414,0.1023074
8.68277498,14.28885,14.2913,1.052313,0.1228177
8.68344166,14.27726,14.28641,1.049567,0.1205591
8.68410833,14.27542,14.28458,1.034245,0.1064583
8.68477501,14.3035,14.30656,1.04627,0.1190331
8.68544168,14.26444,14.26444,1.042425,0.1140886
8.68610836,14.17531,14.17776,1.00293,0.07160298
8.68677503,14.16127,14.17226,1.002564,0.0693444
8.68744171,14.17226,14.18935,1.019778,0.08539861
8.68810838,14.23514,14.24429,1.033695,0.09895007
8.68877506,14.25894,14.25772,1.027408,0.0937004
8.68944173,14.30106,14.30717,1.043401,0.1107923
8.69010841,14.30228,14.31083,1.047796,0.1162251
8.69077508,14.25406,14.25894,1.025028,0.09357832
8.69144176,14.26871,14.27481,1.017458,0.0866805
8.69210843,14.29923,14.29862,1.037969,0.1083506
8.69277511,14.28763,14.27787,1.038274,0.1096325
8.69344178,14.2565,14.24734,1.014589,0.08631425
8.69410846,14.29252,14.29191,1.029667,0.1026737
8.69477513,14.30411,14.31327,1.044988,0.1195825
8.69544181,14.25894,14.27054,1.037724,0.1125626
8.69610848,14.24857,14.25467,1.01758,0.09113661
8.69677516,14.25955,14.25589,1.024051,0.09528751
8.69744183,14.21621,14.21316,1.027286,0.09608106
8.69810851,14.17653,14.17592,1.022525,0.09022097
8.69877518,14.24551,14.24246,1.034794,0.1016359
8.69944186,14.30839,14.29862,1.049994,0.1162251
8.70010853,14.28702,14.27237,1.041143,0.1080454
8.70077521,14.23636,14.22293,1.012086,0.07978269
8.70144188,14.26077,14.26444,1.021975,0.09101453
8.70210856,14.2974,14.309,1.043584,0.1145159
8.70277523,14.30534,14.31449,1.045538,0.116103
8.70344191,14.28641,14.2858,1.02344,0.0949823
8.70410858,14.31266,14.3035,1.03339,0.1062752
8.70477526,14.30717,14.30045,1.048895,0.1215969
8.70544193,14.26077,14.26138,1.045904,0.1193993
8.70610861,14.27115,14.26932,1.029178,0.1032841
8.70677528,14.29923,14.30228,1.037236,0.111769
8.70744196,14.28153,14.28092,1.033634,0.1070077
8.70810863,14.21438,14.21011,1.005433,0.075937
8.70877531,14.1802,14.1863,1.007447,0.07514345
8.70944198,14.19057,14.19912,1.019289,0.08503235
8.71010866,14.23208,14.23514,1.026126,0.09217434
8.71077533,14.24918,14.25162,1.021304,0.0879624
8.71144201,14.28519,14.29435,1.041875,0.1095715
8.71210868,14.29801,14.30961,1.057746,0.1253205
8.71277536,14.2681,14.27726,1.048285,0.117446
8.71344203,14.2742,14.28214,1.032475,0.1026737
8.71410871,14.30656,14.32182,1.03687,0.1082896
8.71477538,14.27298,14.28702,1.032353,0.1034672
8.71544206,14.21926,14.23086,1.015566,0.0871078
8.71610873,14.27298,14.28214,1.032597,0.1050543
8.71677541,14.31632,14.32182,1.054084,0.1269076
8.71744208,14.2974,14.309,1.047247,0.1197656
8.71810876,14.25894,14.27664,1.023685,0.09522647
8.71877543,14.24368,14.25772,1.026309,0.09687462
8.71944211,14.18386,14.19241,1.012697,0.08185814
8.72010878,14.12526,14.12709,0.9851666,0.05170309
8.72077546,14.22964,14.22354,1.018374,0.0838115
8.72144213,14.31144,14.29557,1.052619,0.1185447
8.72210881,14.30595,14.29435,1.047979,0.1156757
8.72277548,14.24796,14.2449,1.024051,0.09113661
8.72344216,14.26688,14.26688,1.031742,0.09876694
8.72410883,14.31022,14.31266,1.041692,0.1108534
8.72477551,14.28458,14.29068,1.03803,0.1079844
8.72544218,14.26077,14.26322,1.026431,0.09717983
8.72610886,14.29923,14.29862,1.040105,0.1112807
8.72677553,14.31632,14.31571,1.047979,0.1204981
8.72744221,14.29801,14.29801,1.039311,0.1126847
8.72810888,14.28092,14.27787,1.028141,0.1015749
8.72877556,14.30167,14.29496,1.035466,0.1095104
8.72944223,14.26566,14.26016,1.027652,0.1000488
8.73010891,14.19241,14.18813,0.9984128,0.06769625
8.73077558,14.17165,14.18264,1.006226,0.0734953
8.73144226,14.18081,14.20522,1.024173,0.09046514
8.73210893,14.23636,14.2504,1.035405,0.1001709
8.73277561,14.23208,14.23697,1.027835,0.09199121
8.73344228,14.2626,14.27115,1.035405,0.1013307
8.73410896,14.28153,14.29007,1.041814,0.1097546
8.73477563,14.25528,14.25772,1.034977,0.1023685
