Zeit,Kanal E,Kanal F,Kanal G,Kanal H
12.96549509,5.092174,1.753754,0.1130814,4.062386
12.96616176,5.092174,1.756501,0.1138445,4.062996
12.96682844,5.067452,1.734068,0.09034306,4.035222
12.96749511,5.025943,1.691185,0.04807105,3.993102
12.96816179,5.015871,1.679435,0.03845684,3.988524
12.96882846,5.060737,1.721859,0.08240752,4.032169
12.96949514,5.088206,1.750549,0.1101819,4.060249
12.97016181,5.097058,1.757569,0.1172018,4.066658
12.97082849,5.102246,1.756806,0.116744,4.064827
12.97149516,5.097973,1.756654,0.1139971,4.064522
12.97216184,5.081797,1.747497,0.1036198,4.052924
12.97282851,5.053718,1.719723,0.07584544,4.023929
12.97349519,5.061958,1.729337,0.08545965,4.035527
12.97416186,5.083323,1.750549,0.106672,4.060249
12.97482854,5.0937,1.755433,0.1107923,4.06849
12.97549521,5.10011,1.754364,0.1089611,4.072762
12.97616189,5.081492,1.743682,0.09980466,4.053229
12.97682856,5.044866,1.708583,0.06638384,4.016298
12.97749524,5.046698,1.701715,0.05905872,4.009278
12.97816191,5.061348,1.716518,0.07416677,4.021182
12.97882859,5.076608,1.736052,0.09339519,4.037969
12.97949526,5.0937,1.75467,0.1129288,4.064827
12.98016194,5.097668,1.758027,0.1168966,4.072762
12.98082861,5.083628,1.744292,0.1013307,4.052924
12.98149529,5.051581,1.714382,0.06852032,4.015078
12.98216196,5.058296,1.719875,0.07569283,4.023013
12.98282864,5.07966,1.741698,0.09751557,4.050787
12.98349531,5.096447,1.754517,0.1129288,4.070931
12.98416198,5.102551,1.757569,0.1173544,4.076731
12.98482866,5.096753,1.751007,0.1085032,4.065133
12.98549533,5.07142,1.734831,0.09095348,4.038274
12.98616201,5.057685,1.721401,0.07752411,4.016603
12.98682868,5.075082,1.732847,0.0889696,4.030643
12.98749536,5.091564,1.751618,0.1083506,4.054145
12.98816203,5.094006,1.753296,0.111708,4.057197
12.98882871,5.083323,1.740172,0.09919424,4.043157
12.98949538,5.055854,1.714382,0.07218288,4.015688
