Zeit,Kanal A,Kanal B,Kanal C,Kanal D
8.85077708,14.24734,14.25589,1.02344,0.09165548
8.85144375,14.21804,14.22659,1.024295,0.09061775
8.85211043,14.16311,14.16311,1.008973,0.07373947
8.8527771,14.18996,14.18569,1.023196,0.08817604
8.85344378,14.2504,14.25162,1.039922,0.1035588
8.85411045,14.2681,14.26383,1.038762,0.1015444
8.85477713,14.2974,14.2974,1.05329,0.1175986
8.8554438,14.2913,14.29984,1.047735,0.1148822
8.85611048,14.30106,14.31266,1.03339,0.101758
8.85677715,14.31388,14.32304,1.042547,0.1116775
8.85744383,14.28458,14.28702,1.041326,0.1116469
8.8581105,14.2797,14.28214,1.028995,0.1000183
8.85877718,14.2742,14.28336,1.032841,0.103864
8.85944385,14.26383,14.27542,1.024661,0.09574533
8.86011053,14.28946,14.30595,1.031193,0.103223
8.8607772,14.28275,14.30717,1.04157,0.1138445
8.86144388,14.24734,14.26627,1.034001,0.1045965
8.86211055,14.24246,14.26077,1.032047,0.1010255
8.86277723,14.19851,14.21438,1.016359,0.08286534
8.8634439,14.13625,14.14907,0.9959712,0.06043218
8.86411058,14.25162,14.24979,1.037175,0.1009645
8.86477725,14.28641,14.28641,1.054084,0.1169882
8.86544393,14.23941,14.25101,1.029117,0.09208277
8.8661106,14.27359,14.29191,1.039861,0.1047491
8.86677728,14.26627,14.28275,1.040654,0.1069161
8.86744395,14.23453,14.2504,1.021914,0.08906116
8.86811063,14.29374,14.29862,1.037114,0.1053901
8.8687773,14.32121,14.32365,1.041875,0.1107313
8.86944398,14.29679,14.30534,1.025638,0.09571481
8.87011065,14.30045,14.31144,1.038091,0.1095104
8.87077733,14.2974,14.30595,1.039556,0.1109755
8.871444,14.2797,14.28214,1.027774,0.09837016
8.87211068,14.28824,14.29313,1.039433,0.1104261
8.87277735,14.28275,14.29801,1.045904,0.1172934
8.87344403,14.25223,14.26566,1.034367,0.1034672
8.8741107,14.20889,14.21743,1.024844,0.09116714
8.87477738,14.15578,14.15822,1.014406,0.07804297
8.87544405,14.23269,14.23514,1.033573,0.09635575
8.87611073,14.28885,14.29557,1.050177,0.1132951
8.8767774,14.2681,14.27054,1.047796,0.1114943
8.87744408,14.27909,14.28153,1.049506,0.1145464
8.87811075,14.30289,14.309,1.044256,0.1110975
8.87877743,14.27176,14.2742,1.013918,0.08136979
8.8794441,14.30534,14.30289,1.024722,0.09363936
8.88011078,14.30961,14.30045,1.027774,0.09702723
8.88077745,14.26688,14.26016,1.006898,0.07596752
8.88144413,14.27298,14.27664,1.023135,0.09348676
8.8821108,14.28458,14.28641,1.032108,0.103162
8.88277748,14.26688,14.26932,1.021365,0.09208277
8.88344415,14.29252,14.30106,1.039495,0.1099072
8.88411083,14.29007,14.29862,1.042608,0.1125931
8.8847775,14.20767,14.21499,1.018496,0.08597851
8.88544418,14.18081,14.19546,1.015383,0.08066781
8.88611085,14.17592,14.18447,1.015505,0.07959956
8.88677753,14.22354,14.22476,1.026981,0.08976315
8.8874442,14.27664,14.29191,1.056831,0.1201013
8.88811088,14.28153,14.29923,1.056098,0.1209254
8.88877755,14.27481,14.28519,1.037602,0.1026737
8.88944423,14.29618,14.31144,1.042058,0.1078318
8.8901109,14.31022,14.32426,1.034733,0.1021548
8.89077758,14.2913,14.30534,1.025516,0.09406666
8.89144425,14.29374,14.30656,1.037175,0.1063973
8.89211093,14.30045,14.29862,1.038945,0.1073739
8.8927776,14.29984,14.2974,1.03925,0.1079233
8.89344428,14.30228,14.30289,1.04566,0.1158589
8.89411095,14.2681,14.27298,1.042791,0.1134172
8.89477763,14.26444,14.27664,1.042241,0.1127762
8.8954443,14.25955,14.26444,1.03101,0.1000183
8.89611098,14.18752,14.18752,1.005311,0.0722134
8.89677765,14.18264,14.18508,1.018191,0.08274326
8.89744433,14.1686,14.1747,1.025455,0.08787084
8.898111,14.21072,14.21316,1.020083,0.08161397
8.89877768,14.27787,14.28031,1.040105,0.1020632
8.89944435,14.27909,14.28275,1.041753,0.1038029
8.90011103,14.26688,14.26016,1.021731,0.08399463
8.9007777,14.30106,14.29191,1.039983,0.1033757
8.90144438,14.30656,14.3035,1.04157,0.1065804
8.90211105,14.28763,14.28702,1.025089,0.090984
8.90277773,14.3035,14.30839,1.038335,0.1045355
8.9034444,14.29252,14.30472,1.039556,0.1061531
8.90411108,14.25528,14.2626,1.02576,0.09324259
8.90477775,14.2681,14.2742,1.041021,0.109541
8.90544443,14.28092,14.2858,1.043401,0.1121353
8.9061111,14.2797,14.28641,1.034184,0.1022769
8.90677778,14.29252,14.29496,1.04682,0.1136003
8.90744445,14.2211,14.22415,1.037297,0.1020632
8.90811113,14.1509,14.16005,1.007569,0.0700464
8.9087778,14.1747,14.18325,1.018618,0.07984373
8.90944448,14.25162,14.25406,1.03339,0.09501281
8.91011115,14.29496,14.29801,1.023318,0.08607008
8.91077783,14.30839,14.31999,1.044012,0.1069161
8.9114445,14.28824,14.30839,1.049261,0.1122879
8.91211118,14.25345,14.27176,1.031742,0.09614211
8.91277785,14.24612,14.25406,1.040288,0.1058174
8.91344453,14.22842,14.23269,1.038091,0.1043523
8.9141112,14.1979,14.19607,1.027713,0.09461604
8.91477788,14.22537,14.22903,1.047369,0.115981
8.91544455,14.22659,14.22903,1.048041,0.1176291
8.91611123,14.21011,14.21499,1.030277,0.1002014
8.9167779,14.22598,14.23941,1.04566,0.1149738
8.91744458,14.19241,14.19729,1.046759,0.115279
8.91811125,14.15029,14.15029,1.020144,0.08674154
8.91877793,14.14052,14.13747,1.026554,0.09150287
8.9194446,14.14296,14.13319,1.029545,0.09315102
8.92011128,14.19851,14.18874,1.03278,0.09568429
8.92077795,14.23941,14.2388,1.052802,0.1160725
8.92144463,14.22049,14.22659,1.047613,0.1123184
8.9221113,14.17592,14.17776,1.024783,0.08948846
8.92277798,14.21621,14.2156,1.036992,0.1023379
8.92344465,14.22903,14.22903,1.038579,0.1057868
8.92411133,14.19607,14.19607,1.025455,0.09238799
8.924778,14.23147,14.22903,1.045477,0.1127457
8.92544468,14.22781,14.22354,1.043646,0.1122268
8.92611135,14.19118,14.19424,1.021975,0.09141131
8.92677803,14.21743,14.21988,1.04157,0.1117995
8.9274447,14.20278,14.20339,1.043951,0.1158284
8.92811138,14.17165,14.17653,1.022036,0.0937004
8.92877805,14.20156,14.21682,1.039556,0.1098462
8.92944473,14.1918,14.20584,1.033146,0.1018191
8.9301114,14.13075,14.14174,0.9963984,0.0625992
8.93077808,14.1277,14.13686,1.016726,0.08136979
8.93144475,14.16616,14.17043,1.038945,0.1030704
8.93211143,14.15029,14.15639,1.024295,0.0885423
8.9327781,14.20339,14.20522,1.04334,0.1071908
8.93344478,14.21316,14.21316,1.050055,0.1143938
8.93411145,14.18203,14.18203,1.028385,0.09354779
8.93477813,14.22232,14.22537,1.042669,0.1091442
8.9354448,14.22476,14.23636,1.041326,0.108839
8.93611148,14.1863,14.20645,1.014528,0.08243804
8.93677815,14.20522,14.22537,1.03046,0.1000183
8.93744483,14.20339,14.21499,1.042058,0.1124405
8.9381115,14.18752,14.19241,1.026004,0.09647784
8.93877818,14.22354,14.23269,1.040105,0.1112807
8.93944485,14.22415,14.23819,1.042486,0.1138445
8.94011153,14.18264,14.20095,1.020205,0.08979367
8.9407782,14.2156,14.22964,1.023318,0.09052619
8.94144487,14.17959,14.19057,1.013735,0.07877548
8.94211155,14.13869,14.1454,0.9987181,0.06146991
8.94277822,14.25101,14.24979,1.037236,0.1006287
8.9434449,14.27848,14.28763,1.047796,0.1130509
8.94411157,14.2449,14.26016,1.025211,0.09043463
8.94477825,14.28031,14.28519,1.041936,0.1074045
8.94544492,14.29313,14.29557,1.035038,0.1019412
8.9461116,14.26077,14.27176,1.010194,0.07761568
8.94677827,14.27909,14.29435,1.037724,0.1057868
8.94744495,14.28275,14.29313,1.05268,0.1212611
8.94811162,14.24124,14.25894,1.028629,0.09837016
8.9487783,14.27115,14.28397,1.036442,0.1082285
8.94944497,14.28336,14.27787,1.034855,0.1064583
8.95011165,14.25101,14.24979,1.012819,0.08341472
8.95077832,14.29435,14.28763,1.026431,0.09733243
8.951445,14.28092,14.27664,1.030216,0.100293
8.95211167,14.2095,14.21926,1.004639,0.07236601
8.95277835,14.19424,14.19912,1.012086,0.07798193
8.95344502,14.19057,14.19302,1.015627,0.08036259
8.9541117,14.21865,14.22476,1.015383,0.07871445
8.95477837,14.2504,14.25284,1.042852,0.1076181
8.95544505,14.24857,14.25101,1.043584,0.1093578
8.95611172,14.21621,14.22537,1.025943,0.09135026
8.9567784,14.26688,14.28336,1.046026,0.112471
8.95744507,14.27909,14.30045,1.045782,0.1130204
8.95811175,14.24918,14.25345,1.011415,0.07953852
8.95877842,14.29679,14.29007,1.023257,0.09275424
8.9594451,14.29313,14.29007,1.026187,0.09711879
8.96011177,14.24368,14.24307,1.0047,0.07599805
8.96077845,14.27237,14.27481,1.032536,0.1044134
8.96144512,14.27542,14.28153,1.045904,0.1173544
8.9621118,14.25467,14.2565,1.027774,0.09821755
8.96277847,14.28641,14.28946,1.04743,0.1168661
8.96344515,14.22049,14.22964,1.027408,0.09452447
8.96411182,14.10939,14.12038,0.9898059,0.05359541
8.9647785,14.13319,14.14418,1.010743,0.07340373
8.96544517,14.24307,14.24979,1.037114,0.100293
8.96611185,14.25955,14.25833,1.026554,0.09119765
8.96677852,14.29068,14.29435,1.042547,0.1087169
8.9674452,14.27787,14.28031,1.049689,0.1154316
8.96811187,14.24368,14.24307,1.027957,0.09290685
8.96877855,14.28336,14.28336,1.039495,0.1049322
8.96944522,14.29191,14.29435,1.034184,0.1008424
8.9701119,14.29496,14.30167,1.011171,0.07950799
8.97077857,14.31022,14.3151,1.036992,0.1068551
8.97144525,14.29496,14.30167,1.041997,0.1116775
8.97211192,14.28702,14.29252,1.027042,0.09620315
8.9727786,14.28519,14.2913,1.041753,0.1123184
8.97344527,14.25528,14.25772,1.043768,0.113875
8.97411195,14.21499,14.21255,1.03339,0.1013918
8.97477862,14.18752,14.18569,1.037114,0.1028873
8.9754453,14.17715,14.18447,1.0351,0.09800391
8.97611197,14.24673,14.24551,1.043768,0.1058479
8.97677865,14.2858,14.28336,1.05384,0.1161946
8.97744532,14.24734,14.24918,1.045416,0.1083812
8.978112,14.26505,14.27115,1.041265,0.1052375
8.97877867,14.2742,14.2742,1.037846,0.1021548
8.97944535,14.25406,14.2449,1.015505,0.08069833
8.98011202,14.3151,14.30839,1.032108,0.09904163
8.9807787,14.31327,14.31999,1.039067,0.1064888
8.98144537,14.25833,14.26932,1.013674,0.08158344
8.98211205,14.28214,14.29313,1.0293,0.09775974
8.98277872,14.27481,14.28397,1.034062,0.1029484
8.9834454,14.2388,14.24368,1.012697,0.08219387
8.98411207,14.2797,14.2858,1.036687,0.1064278
8.98477875,14.28336,14.2858,1.043523,0.1116164
8.98544542,14.20522,14.21011,1.011171,0.07734098
8.9861121,14.18996,14.20278,1.01404,0.07898913
8.98677877,14.18081,14.19302,1.018618,0.0825296
