Zeit,Kanal A,Kanal B,Kanal C,Kanal D
19.94158211,14.2388,14.25162,0.1909108,0.0833842
19.94224878,14.23697,14.23514,0.1806861,0.07227445
19.94291546,14.2156,14.21804,0.1707667,0.06140886
19.94358213,14.19424,14.20645,0.1719875,0.06214137
19.94424881,14.2211,14.23086,0.1954889,0.08564278
19.94491548,14.25223,14.26566,0.2095287,0.1009034
19.94558216,14.26322,14.2681,0.2150226,0.1050543
19.94624883,14.26993,14.27237,0.2141069,0.1026737
19.94691551,14.27298,14.27664,0.2167013,0.1058479
19.94758218,14.26993,14.2681,0.2203638,0.1097546
19.94824886,14.25833,14.26199,0.2168539,0.1051764
19.94891553,14.2504,14.25223,0.2051032,0.09339519
19.94958221,14.25406,14.25345,0.1913686,0.07953852
19.95024888,14.22232,14.22476,0.1808387,0.06885606
19.95091556,14.16982,14.17348,0.1700037,0.05829569
19.95158223,14.13319,14.13442,0.1611525,0.04962764
19.95224891,14.12648,14.0514,0.174124,0.06311806
19.95291558,14.12282,11.70553,0.1848065,0.07471615
19.95358226,14.13319,5.189232,0.2104444,0.09919424
19.95424893,14.1625,1.131119,0.2176169,0.1048712
19.95491561,14.16677,0.3528263,0.2151752,0.1024905
19.95558228,14.16555,0.3302405,0.2167013,0.1038335
19.95624896,14.17226,0.3290197,0.2196008,0.104566
19.95691563,14.15334,0.3302405,0.2203638,0.1034672
19.95758231,14.13075,0.3235258,0.2157856,0.09913319
19.95824898,14.09474,0.3088756,0.2040349,0.08838969
19.95891566,14.06544,0.2887315,0.1843487,0.06916127
19.95958233,14.05079,0.2820168,0.1806861,0.06458308
19.96024901,14.09779,0.322305,0.2238738,0.1067025
19.96091568,14.16677,0.371139,0.2708766,0.1543767
19.96158236,14.17104,0.3570992,0.2516482,0.1341716
19.96224903,14.16066,0.3387865,0.2333354,0.1150653
19.96291571,14.16311,0.3357343,0.2269259,0.1090831
19.96358238,14.14296,0.3253571,0.2151752,0.09632523
19.96424906,14.08741,0.3039922,0.1953363,0.07465511
19.96491573,14.06849,0.421194,0.1959468,0.0755097
19.96558241,14.13442,3.493468,0.1841961,0.06458308
19.96624908,14.27054,11.16225,0.1681724,0.04779636
19.96691576,14.204,14.09596,0.1817544,0.06116469
19.96758243,14.1393,14.14418,0.1852643,0.06482725
19.96824911,14.11915,14.12831,0.1916738,0.07001587
19.96891578,14.157,14.16799,0.2076975,0.08576486
19.96958246,14.19851,14.20522,0.2270785,0.1052375
19.97024913,14.21743,14.21377,0.2388292,0.1167745
