Zeit;Kanal A
(s);(V)

0,00000000;12,48831000
0,00020000;12,48831000
0,00040000;12,48831000
0,00060000;12,48831000
0,00080000;12,48831000
0,00100000;12,48831000
0,00120000;12,48831000
0,00140000;12,48831000
0,00160000;12,48831000
0,00180000;12,48831000
0,00200000;12,48831000
0,00220000;12,48831000
0,00240000;12,48831000
0,00260000;12,48831000
0,00280000;12,48831000
0,00300000;12,48831000
0,00320000;12,48831000
0,00340000;12,48831000
0,00360000;12,48831000
0,00380000;12,48831000
0,00400000;12,48831000
0,00420000;12,48831000
0,00440000;12,48831000
0,00460000;12,48831000
0,00480000;12,48831000
0,00500000;12,48831000
0,00520000;12,48831000
0,00540000;12,48831000
0,00560000;12,48831000
0,00580000;12,48831000
0,00600000;12,48831000
0,00620000;12,48831000
0,00640000;12,48831000
0,00660000;12,48831000
0,00680000;12,48831000
0,00700000;12,48831000
0,00720000;12,48831000
0,00740000;12,48831000
0,00760000;12,48831000
0,00780000;12,48831000
0,00800000;12,48831000
0,00820000;12,48831000
0,00840000;12,48831000
0,00860000;12,48831000
0,00880000;12,48831000
0,00900000;12,48831000
0,00920000;12,48831000
0,00940000;12,48831000
0,00960000;12,48831000
0,00980000;12,48831000
0,01000000;12,48831000
0,01020000;12,48831000
0,01040000;12,48831000
0,01060000;12,48831000
0,01080000;12,48831000
0,01100000;12,48831000
0,01120000;12,48831000
0,01140000;12,48831000
0,01160000;12,48831000
0,01180000;12,48831000
0,01200000;12,48831000
0,01220000;12,48831000
0,01240000;12,48831000
0,01260000;12,48831000
0,01280000;12,48831000
0,01300000;12,48831000
0,01320000;12,48831000
0,01340000;12,48831000
0,01360000;12,48831000
0,01380000;12,48831000
0,01400000;12,48831000
0,01420000;12,48831000
0,01440000;12,48831000
0,01460000;12,48831000
0,01480000;12,48831000
0,01500000;12,48831000
0,01520000;12,48831000
0,01540000;12,48831000
0,01560000;12,48831000
0,01580000;12,48831000
0,01600000;12,48831000
0,01620000;12,48831000
0,01640000;12,48831000
0,01660000;12,48831000
0,01680000;12,48831000
0,01700000;12,48831000
0,01720000;12,48831000
0,01740000;12,48831000
0,01760000;12,48831000
0,01780000;12,48831000
0,01800000;12,48831000
0,01820000;12,48831000
0,01840000;12,48831000
0,01860000;12,48831000
0,01880000;12,48831000
0,01900000;12,48831000
0,01920000;12,48831000
0,01940000;12,48831000
0,01960000;12,48831000
0,01980000;12,48831000
0,02000000;12,48831000
0,02020000;12,48831000
0,02040000;12,48831000
0,02060000;12,48831000
0,02080000;12,48831000
0,02100000;12,48831000
0,02120000;12,48831000
0,02140000;12,48831000
0,02160000;12,48831000
0,02180000;12,48831000
0,02200000;12,48831000
0,02220000;12,48831000
0,02240000;12,30192000
0,02260000;12,48831000
0,02280000;12,48831000
0,02300000;12,48831000
0,02320000;12,48831000
0,02340000;12,48831000
0,02360000;12,48831000
0,02380000;12,48831000
0,02400000;12,48831000
0,02420000;12,48831000
0,02440000;12,48831000
0,02460000;12,48831000
0,02480000;12,48831000
0,02500000;12,48831000
0,02520000;12,48831000
0,02540000;12,48831000
0,02560000;12,48831000
0,02580000;12,48831000
0,02600000;12,48831000
0,02620000;12,30192000
0,02640000;12,48831000
0,02660000;12,48831000
0,02680000;12,48831000
0,02700000;12,48831000
0,02720000;12,48831000
0,02740000;12,48831000
0,02760000;12,48831000
0,02780000;12,48831000
0,02800000;12,48831000
0,02820000;12,48831000
0,02840000;12,48831000
0,02860000;12,48831000
0,02880000;12,48831000
0,02900000;12,48831000
0,02920000;12,48831000
0,02940000;12,48831000
0,02960000;12,48831000
0,02980000;12,48831000
0,03000000;12,48831000
0,03020000;12,48831000
0,03040000;12,48831000
0,03060000;12,48831000
0,03080000;12,48831000
0,03100000;12,48831000
0,03120000;12,48831000
0,03140000;12,48831000
0,03160000;12,48831000
0,03180000;12,48831000
0,03200000;12,48831000
0,03220000;12,48831000
0,03240000;12,48831000
0,03260000;12,48831000
0,03280000;12,48831000
0,03300000;12,48831000
0,03320000;12,48831000
0,03340000;12,48831000
0,03360000;12,48831000
0,03380000;12,48831000
0,03400000;12,48831000
0,03420000;12,48831000
0,03440000;12,48831000
0,03460000;12,48831000
0,03480000;12,48831000
0,03500000;12,48831000
0,03520000;12,48831000
0,03540000;12,48831000
0,03560000;12,48831000
0,03580000;12,48831000
0,03600000;12,48831000
0,03620000;12,48831000
0,03640000;12,48831000
0,03660000;12,48831000
0,03680000;12,48831000
0,03700000;12,48831000
0,03720000;12,48831000
0,03740000;12,48831000
0,03760000;12,48831000
0,03780000;12,48831000
0,03800000;12,48831000
0,03820000;12,48831000
0,03840000;12,48831000
0,03860000;12,48831000
0,03880000;12,48831000
0,03900000;12,48831000
0,03920000;12,48831000
0,03940000;12,48831000
0,03960000;12,48831000
0,03980000;12,48831000
0,04000000;12,48831000
0,04020000;12,48831000
0,04040000;12,48831000
0,04060000;12,48831000
0,04080000;12,48831000
0,04100000;12,48831000
0,04120000;12,48831000
0,04140000;12,48831000
0,04160000;12,48831000
0,04180000;12,48831000
0,04200000;12,48831000
0,04220000;12,48831000
0,04240000;12,48831000
0,04260000;12,48831000
0,04280000;12,48831000
0,04300000;12,48831000
0,04320000;12,48831000
0,04340000;12,48831000
0,04360000;12,48831000
0,04380000;12,48831000
0,04400000;12,48831000
0,04420000;12,48831000
0,04440000;12,48831000
0,04460000;12,48831000
0,04480000;12,48831000
0,04500000;12,48831000
0,04520000;12,48831000
0,04540000;12,48831000
0,04560000;12,48831000
0,04580000;12,48831000
0,04600000;12,30192000
